,feature,importance
2,房屋面积,0.4659769595135538
1,总楼层,0.08704932240171173
14,距离,0.05209658291201814
32,区#12,0.0429723321342899
0,小区房屋出租数量,0.03952228868388777
11,卧室数量,0.020647553266323452
30,区#10,0.02032036164658326
172,位置#137,0.020077241608846736
78,位置#43,0.01976766643955427
13,卫的数量,0.01943330212412418
26,区#6,0.012412639684553839
12,厅的数量,0.011947786071380955
113,位置#78,0.010900777889848024
266,地铁站点#72.0,0.007556590717759287
19,楼层#1,0.007269200199074796
183,位置#148,0.006494656344020267
22,区#1,0.006402395556508982
20,楼层#2,0.005864748309728404
193,地铁线路#5.0,0.005852975233921498
18,楼层#0,0.005545822443101895
4,房屋朝向#2,0.005384960913448651
7,房屋朝向#5,0.004786722317735373
137,位置#102,0.004092639907609787
31,区#11,0.004077904000532889
3,房屋朝向#1,0.003968641229052607
192,地铁线路#4.0,0.0035575844053623083
6,房屋朝向#4,0.00337552360136748
106,位置#71,0.0033172318313317395
25,区#4,0.003001461591504474
9,房屋朝向#7,0.002997538546691181
41,位置#6,0.002780637000040887
82,位置#47,0.0027596056570774923
50,位置#15,0.0026955752030094673
44,位置#9,0.002623465481524007
87,位置#52,0.002450354819235927
5,房屋朝向#3,0.0023064509659153757
99,位置#64,0.002210778117247977
47,位置#12,0.002209256121893687
52,位置#17,0.0021394353074778967
17,时间#3,0.002133996402347392
27,区#7,0.0020232761387738896
29,区#9,0.002018135253366395
301,地铁站点#107.0,0.0019901294828751125
28,区#8,0.0019876970236653584
90,位置#55,0.0019521284501671868
34,区#14,0.0019069124816539387
40,位置#5,0.0018043922137259052
258,地铁站点#64.0,0.0017958022442749935
15,时间#1,0.0017316179950890324
10,房屋朝向#8,0.0017305764134545759
198,地铁站点#4.0,0.0017004740891083231
24,区#3,0.001680152584440088
97,位置#62,0.0015306267236599295
73,位置#38,0.0015029333765028477
33,区#13,0.0013014888089047996
114,位置#79,0.001286792081839111
58,位置#23,0.0011398451827624458
16,时间#2,0.0011318526559313483
124,位置#89,0.0010631660314419811
48,位置#13,0.0009762259814668034
191,地铁线路#3.0,0.0009661894910724906
165,位置#130,0.000921047807362896
189,地铁线路#1.0,0.0009155615515020749
75,位置#40,0.0008817822826349007
221,地铁站点#27.0,0.000822926353609785
95,位置#60,0.0007938856222551291
57,位置#22,0.0007840978000536923
8,房屋朝向#6,0.000779162506785048
89,位置#54,0.0007557726956964419
190,地铁线路#2.0,0.0007003694944646824
280,地铁站点#86.0,0.0006618642730285397
54,位置#19,0.0006427425550249626
21,区#0,0.0006264867201044564
188,地铁线路#0.0,0.0006260041558885997
268,地铁站点#74.0,0.0006237521178888667
104,位置#69,0.0006125683907980214
84,位置#49,0.000592178941848966
92,位置#57,0.0005664882924527521
201,地铁站点#7.0,0.0005446528324829182
194,地铁站点#0.0,0.0005394434907922102
252,地铁站点#58.0,0.000510241440011851
175,位置#140,0.0004977978294079689
74,位置#39,0.00048023488599354395
35,位置#0,0.00047340434617600233
